timestamps,TP9,AF7,AF8,TP10,Right AUX
1700264827.042,-350.098,-100.098,-652.344,-140.625,0.000
1700264827.046,-918.457,-123.535,-788.574,-1000.000,0.000
1700264827.050,470.703,-94.238,-785.156,-514.648,0.000
1700264827.053,999.512,-54.199,-612.793,381.348,0.000
1700264827.057,-80.566,-33.203,-504.395,-15.137,0.000
1700264827.061,-1000.000,-112.305,-812.988,-979.492,0.000
1700264827.065,-12.207,-78.125,-729.004,-738.770,0.000
1700264827.069,999.512,-4.395,-450.684,228.027,0.000
1700264827.073,344.727,-21.484,-437.500,374.512,0.000
1700264827.077,-1000.000,-111.328,-764.160,-624.512,0.000
1700264827.081,-326.660,-101.074,-781.738,-868.164,0.000
1700264827.085,999.512,-20.996,-511.230,148.438,0.000
1700264827.089,777.344,-11.230,-460.449,708.008,0.000
1700264827.093,-692.871,-81.543,-697.754,-171.875,0.000
1700264827.096,-647.461,-121.582,-829.102,-845.703,0.000
1700264827.100,813.477,1.465,-532.227,-33.203,0.000
1700264827.104,999.512,40.039,-350.586,743.164,0.000
1700264827.108,-234.863,-66.895,-596.680,220.703,0.000
1700264827.112,-989.746,-114.258,-802.734,-814.453,0.000
1700264827.116,328.125,-37.109,-587.891,-334.473,0.000
1700264827.120,999.512,10.742,-419.922,703.125,0.000
1700264827.124,93.262,-51.758,-540.527,545.898,0.000
1700264827.128,-1000.000,-124.512,-830.566,-592.285,0.000
1700264827.132,-108.398,-73.242,-727.051,-532.715,0.000
1700264827.136,999.512,-6.348,-458.496,562.988,0.000
1700264827.139,490.723,-57.617,-560.059,828.613,0.000
1700264827.143,-1000.000,-128.906,-820.312,-250.488,0.000
1700264827.147,-429.688,-70.801,-666.016,-730.469,0.000
1700264827.151,999.512,3.418,-394.531,280.762,0.000
1700264827.155,885.254,-49.805,-487.305,978.027,0.000
1700264827.159,-536.621,-132.812,-735.840,152.344,0.000
1700264827.163,-788.574,-105.469,-696.777,-766.602,0.000
1700264827.167,663.574,-27.344,-529.297,9.766,0.000
1700264827.171,999.512,-17.578,-410.645,905.273,0.000
1700264827.175,-165.527,-95.703,-494.629,390.137,0.000
1700264827.179,-1000.000,-165.039,-771.973,-668.457,0.000
1700264827.182,198.242,-92.773,-601.562,-270.508,0.000
1700264827.186,999.512,-57.129,-456.055,786.133,0.000
1700264827.190,178.711,-68.848,-484.375,658.203,0.000
1700264827.194,-1000.000,-115.234,-664.062,-541.504,0.000
1700264827.198,-198.730,-122.070,-713.379,-537.598,0.000
1700264827.202,999.512,-42.480,-413.086,540.039,0.000
1700264827.206,586.914,-22.461,-277.832,828.613,0.000
1700264827.210,-925.781,-91.309,-550.781,-171.387,0.000
1700264827.214,-494.629,-95.703,-693.848,-691.406,0.000
1700264827.218,970.703,-8.301,-485.352,255.859,0.000
1700264827.221,944.824,26.855,-315.430,945.801,0.000
1700264827.225,-414.062,-48.828,-521.484,220.703,0.000
1700264827.229,-833.984,-124.023,-808.105,-645.508,0.000
1700264827.233,592.773,-38.086,-606.445,20.996,0.000
1700264827.237,999.512,66.895,-214.355,884.277,0.000
1700264827.241,-73.242,-10.742,-394.043,558.594,0.000
1700264827.245,-1000.000,-87.891,-607.910,-507.324,0.000
1700264827.249,45.898,-29.785,-437.012,-246.094,0.000
1700264827.253,999.512,20.996,-125.488,795.898,0.000
1700264827.257,250.488,-45.410,-128.418,842.773,0.000
1700264827.261,-1000.000,-164.062,-618.164,-241.211,0.000
1700264827.264,-324.219,-105.469,-514.648,-444.824,0.000
1700264827.268,999.512,-15.137,-234.863,596.191,0.000
1700264827.272,644.531,-64.941,-304.199,999.512,0.000
1700264827.276,-846.191,-199.707,-655.273,213.867,0.000
1700264827.280,-660.645,-157.715,-616.699,-496.582,0.000
1700264827.284,790.527,-18.555,-278.809,322.754,0.000
1700264827.288,988.281,-18.066,-66.895,999.512,0.000
1700264827.292,-333.984,-109.863,-285.645,527.832,0.000
1700264827.296,-925.293,-145.996,-603.027,-395.996,0.000
1700264827.300,416.992,-26.367,-193.359,192.871,0.000
1700264827.303,999.512,16.113,52.734,999.512,0.000
1700264827.307,117.676,-37.598,-83.984,746.582,0.000
1700264827.311,-1000.000,-86.914,-394.043,-238.281,0.000
1700264827.315,-20.996,-35.645,-314.941,-38.574,0.000
1700264827.319,999.512,-12.207,-237.305,917.480,0.000
1700264827.323,475.098,-60.547,-375.000,940.918,0.000
1700264827.327,-1000.000,-71.777,-422.363,-82.031,0.000
1700264827.331,-330.566,-27.344,-312.012,-421.875,0.000
1700264827.335,999.512,10.742,-109.863,593.750,0.000
1700264827.339,888.672,28.320,85.449,999.512,0.000
1700264827.342,-562.500,-22.461,-113.281,220.215,0.000
1700264827.346,-579.590,-51.270,-407.715,-527.832,0.000
1700264827.350,860.352,-2.930,-266.602,331.543,0.000
1700264827.354,999.512,33.203,87.402,999.512,0.000
1700264827.358,-22.461,-7.324,-41.504,497.559,0.000
1700264827.362,-924.316,-90.332,-477.051,-590.332,0.000
1700264827.366,405.762,-54.199,-381.348,-189.941,0.000
1700264827.370,999.512,17.090,-68.359,759.766,0.000
1700264827.374,250.000,3.906,-20.996,511.719,0.000
1700264827.378,-1000.000,-92.773,-459.961,-637.207,0.000
